PubMedID,Title,Publication Date,Non-academic Authors,Company Affiliations,Corresponding Author Email
40738981,Neoantigen mRNA vaccines induce progenitor-exhausted T cells that support anti-PD-1 therapy in gastric cancer with peritoneal metastasis.,2025-Jul-31,"Koji Nagaoka, Hideyuki Nakanishi, Takeshi Kawamura, Toshiya Tanaka, Takefumi Yamashita, Akihiro Kuroda, Sachiyo Nomura, Keiji Itaka, Tatsuhiko Kodama, Kazuhiro Kakimi","Laboratory of DDS Design and Drug Disposition, Graduate School of Pharmaceutical Sciences, Tohoku University, 6-3 Aoba, Aramaki, Aoba-Ku, Sendai, 980-8578, Japan., Laboratory of DDS Design and Drug Disposition, Graduate School of Pharmaceutical Sciences, Tohoku University, 6-3 Aoba, Aramaki, Aoba-Ku, Sendai, 980-8578, Japan., Laboratory of DDS Design and Drug Disposition, Graduate School of Pharmaceutical Sciences, Tohoku University, 6-3 Aoba, Aramaki, Aoba-Ku, Sendai, 980-8578, Japan.",N/A
40738546,Nanoparticles for mRNA-based cancer immunotherapy.,2025-N/A-N/A,,"Institute of Pharmaceutical Sciences, Kurukshetra University, Kurukshetra, Haryana, India., Institute of Pharmaceutical Sciences, Kurukshetra University, Kurukshetra, Haryana, India., Institute of Pharmaceutical Sciences, Kurukshetra University, Kurukshetra, Haryana, India., Professor and Head of Department, Amity Institute of Pharmacy, Amity University, Gwalior, Madhya Pradesh, India. Electronic address: neerajdops@gmail.com.",N/A
40738545,Lipid nanoparticle mediated mRNA delivery in cancer immunotherapy.,2025-N/A-N/A,,"Gokaraju Rangaraju College of Pharmacy, Hyderabad, Telangana, India., Department of Pharmaceutics, National Institute of Pharmaceutical Education and Research, Hyderabad, Telangana, India., Department of Pharmaceutics, National Institute of Pharmaceutical Education and Research, Hyderabad, Telangana, India., Department of Pharmaceutics, National Institute of Pharmaceutical Education and Research, Hyderabad, Telangana, India., Department of Pharmaceutics, National Institute of Pharmaceutical Education and Research, Hyderabad, Telangana, India., Department of Pharmaceutics, National Institute of Pharmaceutical Education and Research, Hyderabad, Telangana, India., Department of Pharmaceutics, National Institute of Pharmaceutical Education and Research, Hyderabad, Telangana, India., Department of Pharmaceutics, National Institute of Pharmaceutical Education and Research, Hyderabad, Telangana, India., Department of Pharmaceutics, National Institute of Pharmaceutical Education and Research, Hyderabad, Telangana, India., Department of Pharmaceutics, National Institute of Pharmaceutical Education and Research, Hyderabad, Telangana, India., Department of Pharmaceutics, National Institute of Pharmaceutical Education and Research, Hyderabad, Telangana, India. Electronic address: gajdhaneshubham87@gmail.com., Department of Pharmaceutics, National Institute of Pharmaceutical Education and Research, Hyderabad, Telangana, India., Sreeven Pharma, Bidar, Karnataka, India.",N/A
40738544,"Recent progress, challenges (stability and in vivo distribution), and opportunities of DNA & mRNA vaccine in cancer immunotherapy.",2025-N/A-N/A,,"Amity Institute of Pharmacy, Amity University Madhya Pradesh, Gwalior, Madhya Pradesh, India., Amity Institute of Pharmacy, Amity University Madhya Pradesh, Gwalior, Madhya Pradesh, India., Institute of Pharmaceutical Research, GLA University, Mathura, Uttar Pradesh, India., Dr. Kalam College of Pharmacy, Avanam, Thanjavur, Tamil Nadu, India., School of Pharmaceutical Sciences, Lovely Professional University, Phagwara, Punjab, India; Department of Pharmaceutical Technology, Bharat Technology, Uluberia, West Bengal, India., Faculty of Pharmacy, Integral University, Lucknow, Uttar Pradesh, India., Biotechnology Department, Razi vaccine and serum Research Institute, Agricultural Research, Education and Extension Organization, Markazi Province, Iran., Department of Pharmaceutics, College of Pharmacy, King Saud University, Riyadh, Saudi Arabia. Electronic address: amohammed2@ksu.edu.sa.",N/A
40738542,Personalized precision: Revolutionizing cancer treatment with mRNA-based vaccines in melanoma therapy.,2025-N/A-N/A,Krishnendu Adhikary,"Department of Pharmaceutical Technology, NSHM Knowledge Campus, Kolkata Group of Institutions, Kolkata, India; Department of Pharmaceutical Technology, Jadavpur University, Kolkata, West Bengal, India., Department of Biotechnology, School of Research and Technology, People's University, Bhanpur, Bhopal, Madhya Pradesh, India; Institute of Tropical Aquaculture and Fisheries, University Malaysia Terengganu, Kuala Nerus, Terengganu, Malaysia., Faculty of Pharmacy, Integral University, Lucknow, Uttar Pradesh, India., Department of Pharmaceutical Technology, Bharat Technology, Uluberia, West Bengal, India; School of Pharmaceutical Sciences, Lovely Professional University, Phagwara, Punjab, India., School of Pharmaceutical Sciences, Lovely Professional University, Phagwara, Punjab, India. Electronic address: ramzan.pharma@gmail.com.",N/A
40738001,Comparative effectiveness of one versus two doses of COVID-19 vaccines in Qatar: Evidence of converging protection over time.,2025-Jul-29,"Hiam Chemaitelly, Houssein H Ayoub, Peter Coyle, Patrick Tang, Mohammad R Hasan, Hadi M Yassine, Asmaa A Al Thani, Zaina Al-Kanaani, Einas Al-Kuwari, Andrew Jeremijenko, Anvar Hassan Kaleeckal, Ali Nizar Latif, Riyazuddin Mohammad Shaik, Hanan F Abdul-Rahim, Gheyath K Nasrallah, Mohamed Ghaith Al-Kuwari, Adeel A Butt, Hamad Eid Al-Romaihi, Mohamed H Al-Thani, Abdullatif Al-Khal, Laith J Abu-Raddad",,N/A
40737846,Dehydrotumulosic acid: a potential glucocorticoid receptor agonist with anti-coxsackievirus activity.,2025-Jul-25,"Zhe Ren, Yun Zou","School of Pharmacy, Guangdong Pharmaceutical University, Guangzhou, 510006, PR China; College of Pharmacy, Shenzhen Technology University, Shenzhen, 518118, PR China., School of Pharmacy, Guangdong Pharmaceutical University, Guangzhou, 510006, PR China; College of Pharmacy, Shenzhen Technology University, Shenzhen, 518118, PR China., College of Pharmacy, Shenzhen Technology University, Shenzhen, 518118, PR China., College of Pharmacy, Shenzhen Technology University, Shenzhen, 518118, PR China., College of Pharmacy, Shenzhen Technology University, Shenzhen, 518118, PR China., College of Pharmacy, Shenzhen Technology University, Shenzhen, 518118, PR China., College of Pharmacy, Shenzhen Technology University, Shenzhen, 518118, PR China., College of Pharmacy, Shenzhen Technology University, Shenzhen, 518118, PR China., College of Pharmacy, Shenzhen Technology University, Shenzhen, 518118, PR China., School of Pharmacy, Guangdong Pharmaceutical University, Guangzhou, 510006, PR China; Institute of Biomedicine, College of Life Science and Technology, Guangdong Province Key Laboratory of Bioengineering Medicine, Key Laboratory of Innovative Technology Research on Natural Products and Cosmetics Raw Materials, Jinan University, Guangzhou, 510632, PR China. Electronic address: twangyf@jnu.edu.cn., College of Pharmacy, Shenzhen Technology University, Shenzhen, 518118, PR China. Electronic address: zhuqinchang@sztu.edu.cn., School of Pharmacy, Guangdong Pharmaceutical University, Guangzhou, 510006, PR China. Electronic address: wzping-jshb@gdpu.edu.cn.",N/A
40737434,Vaccination with mRNA-encoded membrane-anchored HIV envelope trimers elicited tier 2 neutralizing antibodies in a phase 1 clinical trial.,2025-Jul-30,"K Rachael Parks, Zoe Moodie, Mary A Allen, Catherine Yen, Briana D Furch, Kellie J MacPhee, Gabriel Ozorowski, Jack Heptinstall, William O Hahn, Zihan Zheng, Huiyin Lu, Shannon Grant, Elize Domin, Michael O Duff, Aaron Seese, Constanza Marini-Macouzet, Lamar Ballweber-Fleming, Wen-Hsin Lee, Christopher A Cottrell, Alessia Liguori, Erik Georgeson, Nushin Alavi, Michael Kubitz, Nicole Phelps, Kelly E Seaton, Kristen W Cohen, Maija A Anderson, Kajari Mondal, Dagna S Laufer, James G Kublin, Andrew B Ward, Ollivier Hyrien, Stephen C De Rosa, Sunny Himansu, Brett Leav, Caroline Reuter, Georgia D Tomaras, David Montefiori, Stephen R Walsh, Ian Frank, Magdalena E Sobieszczyk, Paul A Goepfert, Kathryn E Stephenson, Lindsey R Baden, Hong Van Tieu, Michael C Keefer, Jesse Clark, Sharon A Riddler, William R Schief, M Juliana McElrath",,N/A
40737430,Vaccination with an mRNA-encoded membrane-bound HIV envelope trimer induces neutralizing antibodies in animal models.,2025-Jul-30,"Parham Ramezani-Rad, Christopher A Cottrell, Ester Marina-Zárate, Alessia Liguori, Elise Landais, Jonathan L Torres, Amber Myers, Jeong Hyun Lee, Sabyasachi Baboo, Claudia Flynn, Katherine McKenney, Eugenia Salcedo, Xiaoya Zhou, Oleksandr Kalyuzhniy, Erik Georgeson, Nicole Phelps, Danny Lu, Saman Eskandarzadeh, Sergey Menis, Michael Kubitz, Bettina Groschel, Nushin Alavi, Abigail M Jackson, Wen-Hsin Lee, Andy S Tran, Elana Ben-Akiva, Katarzyna Kaczmarek Michaels, Jolene K Diedrich, Chiamaka A Enemuo, Vanessa Lewis, Arpan Pradhan, Sudhir Pai Kasturi, Torben Schiffner, Jon M Steichen, Diane G Carnathan, Sunny Himansu, John R Yates, James C Paulson, Gabriel Ozorowski, Darrell J Irvine, Guido Silvestri, Devin Sok, Andrew B Ward, Shane Crotty, William R Schief",,N/A
40735320,Comparison of SARS-CoV-2 IgG responses in hemodialysis patients and healthcare workers after COVID-19 vaccination.,2025-N/A-N/A,"Hakkı Öztürk, Metin Özsoy, Ayşegül Tuna, Artuner Varlibas, Salih Cesur, Altan Aksoy, Aydın Çifci, Mehmet Emin Demir",,N/A
