PubMedID,Title,Publication Date,Non-academic Authors,Company Affiliations,Corresponding Author Email
40740383,"Advances and challenges in poliomyelitis vaccines: a comprehensive review of development, production, and global deployment.",2025-N/A-N/A,"Jia Liang, Qi Zhang, Yanan Li, Lili Wang",,N/A
40740252,Engineered lipid nanoparticles with synergistic dendritic cell targeting and enhanced endosomal escape for boosted mRNA cancer vaccines.,2025-Oct-N/A,Yanfeng Wu,"National Key Laboratory of Immunity and Inflammation & School of Pharmacy, Naval Medical University, Shanghai, 200433, China., National Key Laboratory of Immunity and Inflammation & School of Pharmacy, Naval Medical University, Shanghai, 200433, China., National Key Laboratory of Immunity and Inflammation & School of Pharmacy, Naval Medical University, Shanghai, 200433, China., National Key Laboratory of Immunity and Inflammation & School of Pharmacy, Naval Medical University, Shanghai, 200433, China., National Key Laboratory of Immunity and Inflammation & School of Pharmacy, Naval Medical University, Shanghai, 200433, China., National Key Laboratory of Immunity and Inflammation & School of Pharmacy, Naval Medical University, Shanghai, 200433, China., National Key Laboratory of Immunity and Inflammation & School of Pharmacy, Naval Medical University, Shanghai, 200433, China., National Key Laboratory of Immunity and Inflammation & School of Pharmacy, Naval Medical University, Shanghai, 200433, China.",N/A
40739754,Augmented germinal center and antibody responses to HIV Env trimers delivered as transmembrane immunogens by self-replicating RNA.,2025-Jul-29,"Parisa Yousefpour, Amrit Raj Ghosh, Himanshi Chawla, Rachel Yeung, Justin Gregory, Kristen Si, Tanaka K Remba, Kristen A Rodrigues, Mariane B Melo, Jonathan Dye, Jon M Steichen, Yizhou Dong, Max Crispin, William R Schief, Facundo D Batista, Darrell J Irvine","Division of Pharmaceutics & Pharmacology, College of Pharmacy, The Ohio State University, Columbus, OH 43210, USA.",N/A
40739393,Thrombotic events after vaccination for covid-19 in Italy: a report from the Italian society on thrombosis and haemostasis registry.,2025-Jul-30,"Marco Paolo Donadini, Elisa Tarasconi, Lorenza Bertù, Emilia Antonucci, Laura Contino, Valerio De Stefano, Rossella Marcucci, Gualtiero Palareti, Laura Russo, Giovanni Luca Tiscia, Armando Tripodi, Paolo Gresele, N/A N/A",,N/A
40738981,Neoantigen mRNA vaccines induce progenitor-exhausted T cells that support anti-PD-1 therapy in gastric cancer with peritoneal metastasis.,2025-Jul-31,"Koji Nagaoka, Hideyuki Nakanishi, Takeshi Kawamura, Toshiya Tanaka, Takefumi Yamashita, Akihiro Kuroda, Sachiyo Nomura, Keiji Itaka, Tatsuhiko Kodama, Kazuhiro Kakimi","Laboratory of DDS Design and Drug Disposition, Graduate School of Pharmaceutical Sciences, Tohoku University, 6-3 Aoba, Aramaki, Aoba-Ku, Sendai, 980-8578, Japan., Laboratory of DDS Design and Drug Disposition, Graduate School of Pharmaceutical Sciences, Tohoku University, 6-3 Aoba, Aramaki, Aoba-Ku, Sendai, 980-8578, Japan., Laboratory of DDS Design and Drug Disposition, Graduate School of Pharmaceutical Sciences, Tohoku University, 6-3 Aoba, Aramaki, Aoba-Ku, Sendai, 980-8578, Japan.",N/A
40738546,Nanoparticles for mRNA-based cancer immunotherapy.,2025-N/A-N/A,,"Institute of Pharmaceutical Sciences, Kurukshetra University, Kurukshetra, Haryana, India., Institute of Pharmaceutical Sciences, Kurukshetra University, Kurukshetra, Haryana, India., Institute of Pharmaceutical Sciences, Kurukshetra University, Kurukshetra, Haryana, India., Professor and Head of Department, Amity Institute of Pharmacy, Amity University, Gwalior, Madhya Pradesh, India. Electronic address: neerajdops@gmail.com.",N/A
40738545,Lipid nanoparticle mediated mRNA delivery in cancer immunotherapy.,2025-N/A-N/A,,"Gokaraju Rangaraju College of Pharmacy, Hyderabad, Telangana, India., Department of Pharmaceutics, National Institute of Pharmaceutical Education and Research, Hyderabad, Telangana, India., Department of Pharmaceutics, National Institute of Pharmaceutical Education and Research, Hyderabad, Telangana, India., Department of Pharmaceutics, National Institute of Pharmaceutical Education and Research, Hyderabad, Telangana, India., Department of Pharmaceutics, National Institute of Pharmaceutical Education and Research, Hyderabad, Telangana, India., Department of Pharmaceutics, National Institute of Pharmaceutical Education and Research, Hyderabad, Telangana, India., Department of Pharmaceutics, National Institute of Pharmaceutical Education and Research, Hyderabad, Telangana, India., Department of Pharmaceutics, National Institute of Pharmaceutical Education and Research, Hyderabad, Telangana, India., Department of Pharmaceutics, National Institute of Pharmaceutical Education and Research, Hyderabad, Telangana, India., Department of Pharmaceutics, National Institute of Pharmaceutical Education and Research, Hyderabad, Telangana, India., Department of Pharmaceutics, National Institute of Pharmaceutical Education and Research, Hyderabad, Telangana, India. Electronic address: gajdhaneshubham87@gmail.com., Department of Pharmaceutics, National Institute of Pharmaceutical Education and Research, Hyderabad, Telangana, India., Sreeven Pharma, Bidar, Karnataka, India.",N/A
40738544,"Recent progress, challenges (stability and in vivo distribution), and opportunities of DNA & mRNA vaccine in cancer immunotherapy.",2025-N/A-N/A,,"Amity Institute of Pharmacy, Amity University Madhya Pradesh, Gwalior, Madhya Pradesh, India., Amity Institute of Pharmacy, Amity University Madhya Pradesh, Gwalior, Madhya Pradesh, India., Institute of Pharmaceutical Research, GLA University, Mathura, Uttar Pradesh, India., Dr. Kalam College of Pharmacy, Avanam, Thanjavur, Tamil Nadu, India., School of Pharmaceutical Sciences, Lovely Professional University, Phagwara, Punjab, India; Department of Pharmaceutical Technology, Bharat Technology, Uluberia, West Bengal, India., Faculty of Pharmacy, Integral University, Lucknow, Uttar Pradesh, India., Biotechnology Department, Razi vaccine and serum Research Institute, Agricultural Research, Education and Extension Organization, Markazi Province, Iran., Department of Pharmaceutics, College of Pharmacy, King Saud University, Riyadh, Saudi Arabia. Electronic address: amohammed2@ksu.edu.sa.",N/A
40738542,Personalized precision: Revolutionizing cancer treatment with mRNA-based vaccines in melanoma therapy.,2025-N/A-N/A,Krishnendu Adhikary,"Department of Pharmaceutical Technology, NSHM Knowledge Campus, Kolkata Group of Institutions, Kolkata, India; Department of Pharmaceutical Technology, Jadavpur University, Kolkata, West Bengal, India., Department of Biotechnology, School of Research and Technology, People's University, Bhanpur, Bhopal, Madhya Pradesh, India; Institute of Tropical Aquaculture and Fisheries, University Malaysia Terengganu, Kuala Nerus, Terengganu, Malaysia., Faculty of Pharmacy, Integral University, Lucknow, Uttar Pradesh, India., Department of Pharmaceutical Technology, Bharat Technology, Uluberia, West Bengal, India; School of Pharmaceutical Sciences, Lovely Professional University, Phagwara, Punjab, India., School of Pharmaceutical Sciences, Lovely Professional University, Phagwara, Punjab, India. Electronic address: ramzan.pharma@gmail.com.",N/A
40738001,Comparative effectiveness of one versus two doses of COVID-19 vaccines in Qatar: Evidence of converging protection over time.,2025-Jul-29,"Hiam Chemaitelly, Houssein H Ayoub, Peter Coyle, Patrick Tang, Mohammad R Hasan, Hadi M Yassine, Asmaa A Al Thani, Zaina Al-Kanaani, Einas Al-Kuwari, Andrew Jeremijenko, Anvar Hassan Kaleeckal, Ali Nizar Latif, Riyazuddin Mohammad Shaik, Hanan F Abdul-Rahim, Gheyath K Nasrallah, Mohamed Ghaith Al-Kuwari, Adeel A Butt, Hamad Eid Al-Romaihi, Mohamed H Al-Thani, Abdullatif Al-Khal, Laith J Abu-Raddad",,N/A
